party,abbr,name,country
c_swe,c,Centre Party,swe
kd_swe,kd,Christian Democrats,swe
l_swe,l,Liberals,swe
mp_swe,mp,Green Party,swe
m_swe,m,Moderate Party,swe
s_swe,s,Social Democratic Party,swe
sd_swe,sd,Sweden Democrats,swe
v_swe,v,Left Party,swe
c_gbr,c,Conservative Party,gbr
coop_gbr,coop,Co-operative Party,gbr
dup_gbr,dup,Democratic Unionist Party,gbr
green_gbr,green,Green Party,gbr
lab_gbr,lab,Labour Party,gbr
ld_gbr,ld,Liberal Democrats,gbr
pc_gbr,pc,Plaid Cymru,gbr
snp_gbr,snp,Scottish National Party,gbr
sf_gbr,sf,Sinn F̩in,gbr